file,slope_bin,elevation_bin,slope_angle_deg,midpoint_elevation_ft,rise_ft
BradleyMountain2019-06-13.gpx,10-20,8000-9500,11.852,8754,-27.54
BradleyMountain2019-06-13.gpx,0-10,8000-9500,9.802,8729,-22.67
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.329,8709,-16.88
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.711,8694,-13.12
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.35,8682,-12.29
BradleyMountain2019-06-13.gpx,0-10,8000-9500,3.225,8672,-7.39
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,8670,3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.0,8671,0.0
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,8673,3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.49,8676,3.41
BradleyMountain2019-06-13.gpx,0-10,8000-9500,3.116,8674,-7.14
BradleyMountain2019-06-13.gpx,0-10,8000-9500,9.375,8660,-21.67
BradleyMountain2019-06-13.gpx,10-20,8000-9500,11.974,8635,-27.83
BradleyMountain2019-06-13.gpx,0-10,8000-9500,9.65,8610,-22.31
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.295,8589,-19.13
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.263,8571,-16.73
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.495,8561,-3.43
BradleyMountain2019-06-13.gpx,0-10,8000-9500,3.392,8556,-7.78
BradleyMountain2019-06-13.gpx,0-10,8000-9500,3.76,8548,-8.63
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.862,8540,-6.56
BradleyMountain2019-06-13.gpx,0-10,8000-9500,0.0,8537,0.0
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,8535,-3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,1.432,8535,3.28
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.711,8530,-13.12
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.999,8517,-13.79
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.996,8499,-20.78
BradleyMountain2019-06-13.gpx,0-10,8000-9500,7.505,8480,-17.29
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.298,8462,-19.14
BradleyMountain2019-06-13.gpx,10-20,8000-9500,11.565,8439,-26.85
BradleyMountain2019-06-13.gpx,10-20,8000-9500,10.171,8414,-23.54
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.711,8396,-13.12
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.862,8386,-6.56
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.711,8376,-13.12
BradleyMountain2019-06-13.gpx,0-10,8000-9500,9.926,8358,-22.97
BradleyMountain2019-06-13.gpx,0-10,8000-9500,9.495,8335,-21.95
BradleyMountain2019-06-13.gpx,0-10,8000-9500,6.15,8317,-14.14
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.862,8307,-6.56
BradleyMountain2019-06-13.gpx,0-10,8000-9500,2.862,8301,-6.56
BradleyMountain2019-06-13.gpx,0-10,8000-9500,9.17,8287,-21.18
BradleyMountain2019-06-13.gpx,10-20,8000-9500,16.389,8257,-38.6
BradleyMountain2019-06-13.gpx,10-20,8000-9500,16.103,8219,-37.89
BradleyMountain2019-06-13.gpx,10-20,8000-9500,10.297,8188,-23.84
BradleyMountain2019-06-13.gpx,10-20,8000-9500,12.378,8161,-28.8
BradleyMountain2019-06-13.gpx,10-20,8000-9500,16.479,8128,-38.82
BradleyMountain2019-06-13.gpx,10-20,8000-9500,13.161,8093,-30.69
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.567,8068,-19.77
BradleyMountain2019-06-13.gpx,10-20,8000-9500,10.097,8046,-23.37
BradleyMountain2019-06-13.gpx,0-10,8000-9500,8.322,8025,-19.2
BradleyMountain2019-06-13.gpx,0-10,8000-9500,5.604,8009,-12.88
BradleyMountain2019-06-13.gpx,0-10,6500-8000,2.97,7999,-6.81
BradleyMountain2019-06-13.gpx,0-10,6500-8000,3.354,7992,-7.69
BradleyMountain2019-06-13.gpx,0-10,6500-8000,5.222,7982,-11.99
BradleyMountain2019-06-13.gpx,0-10,6500-8000,1.432,7974,-3.28
BradleyMountain2019-06-13.gpx,0-10,6500-8000,2.862,7969,-6.56
BradleyMountain2019-06-13.gpx,0-10,6500-8000,1.432,7964,-3.28
BradleyMountain2019-06-13.gpx,0-10,6500-8000,5.711,7956,-13.12
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.026,7937,-25.57
BradleyMountain2019-06-13.gpx,10-20,6500-8000,18.51,7902,-43.94
BradleyMountain2019-06-13.gpx,10-20,6500-8000,14.647,7863,-34.3
BradleyMountain2019-06-13.gpx,10-20,6500-8000,16.96,7826,-40.02
BradleyMountain2019-06-13.gpx,0-10,6500-8000,7.353,7797,-16.93
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.926,7777,-22.97
BradleyMountain2019-06-13.gpx,0-10,6500-8000,7.125,7758,-16.4
BradleyMountain2019-06-13.gpx,0-10,6500-8000,8.863,7739,-20.46
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.489,7716,-26.67
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.338,7689,-26.31
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.287,7665,-21.46
BradleyMountain2019-06-13.gpx,10-20,6500-8000,10.852,7642,-25.16
BradleyMountain2019-06-13.gpx,0-10,6500-8000,8.152,7620,-18.8
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.236,7597,-26.07
BradleyMountain2019-06-13.gpx,10-20,6500-8000,12.812,7569,-29.84
BradleyMountain2019-06-13.gpx,10-20,6500-8000,14.246,7538,-33.32
BradleyMountain2019-06-13.gpx,10-20,6500-8000,15.481,7503,-36.35
BradleyMountain2019-06-13.gpx,10-20,6500-8000,13.709,7469,-32.01
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.308,7440,-26.24
BradleyMountain2019-06-13.gpx,10-20,6500-8000,10.091,7415,-23.36
BradleyMountain2019-06-13.gpx,0-10,6500-8000,7.858,7394,-18.11
BradleyMountain2019-06-13.gpx,0-10,6500-8000,8.847,7375,-20.43
BradleyMountain2019-06-13.gpx,0-10,6500-8000,9.612,7354,-22.22
BradleyMountain2019-06-13.gpx,10-20,6500-8000,11.232,7329,-26.06
BradleyMountain2019-06-13.gpx,10-20,6500-8000,12.657,7302,-29.47
